hasOldNr,Signature
AA 1,SGV_12N_00001
AA 2,SGV_12N_00002
AA 3,SGV_12N_00003
AA 4,SGV_12N_00004
AA 5,SGV_12N_00005
AA 6,SGV_12N_00006
AA 7,SGV_12N_00007
AA 8,SGV_12N_00008
AA 9,SGV_12N_00009
AA 10,SGV_12N_00010
AA 11,SGV_12N_00011
AA 12,SGV_12N_00012
AA 13,SGV_12N_00013
AA 14,SGV_12N_00014
AA 15,SGV_12N_00015
AA 16,SGV_12N_00016
AA 17,SGV_12N_00017
AA 18,SGV_12N_00018
AA 19,SGV_12N_00019
AA 20,SGV_12N_00020
AA 21,SGV_12N_00021
AA 22,SGV_12N_00022
AA 23,SGV_12N_00023
AA 24,SGV_12N_00024
AA 25,SGV_12N_00025
AA 26,SGV_12N_00026
AA 27,SGV_12N_00027
AA 28,SGV_12N_00028
AA 29,SGV_12N_00029
AA 30,SGV_12N_00030
AA 31,SGV_12N_00031
AA 32,SGV_12N_00032
AA 33,SGV_12N_00033
AA 34,SGV_12N_00034
AA 35,SGV_12N_00035
AA 36,SGV_12N_00036
AA 37,SGV_12N_00037
AA 38,SGV_12N_00038
AA 39,SGV_12N_00039
AA 40,SGV_12N_00040
AA 41,SGV_12N_00041
AA 42,SGV_12N_00042
AA 43,SGV_12N_00043
AA 44,SGV_12N_00044
AA 45,SGV_12N_00045
AA 46,SGV_12N_00046
AA 47,SGV_12N_00047
AA 48,SGV_12N_00048
AA 49,SGV_12N_00049
AA 50,SGV_12N_00050
AA 51,SGV_12N_00051
AA 52,SGV_12N_00052
AA 53,SGV_12N_00053
AA 54,SGV_12N_00054
AA 55,SGV_12N_00055
AA 56,SGV_12N_00056
AA 57,SGV_12N_00057
AA 58,SGV_12N_00058
AA 59,SGV_12N_00059
AA 60,SGV_12N_00060
AA 61,SGV_12N_00061
AA 62,SGV_12N_00062
AA 63,SGV_12N_00063
AA 64,SGV_12N_00064
AA 65,SGV_12N_00065
AA 66,SGV_12N_00066
AA 67,SGV_12N_00067
AA 68,SGV_12N_00068
AA 69,SGV_12N_00069
AA 70,SGV_12N_00070
AA 71,SGV_12N_00071
AA 72,SGV_12N_00072
AA 73,SGV_12N_00073
AA 74,SGV_12N_00074
AA 75,SGV_12N_00075
AA 76,SGV_12N_00076
AA 77,SGV_12N_00077
AA 78,SGV_12N_00078
AA 79,SGV_12N_00079
AA 80,SGV_12N_00080
AA 81,SGV_12N_00081
AA 82,SGV_12N_00082
AA 83,SGV_12N_00083
AA 84,SGV_12N_00084
AA 85,SGV_12N_00085
AA 86,SGV_12N_00086
AA 87,SGV_12N_00087
AA 88,SGV_12N_00088
AA 89,SGV_12N_00089
AA 90,SGV_12N_00090
AA 91,SGV_12N_00091
AA 92,SGV_12N_00092
AA 93,SGV_12N_00093
AA 94,SGV_12N_00094
AA 95,SGV_12N_00095
AA 96,SGV_12N_00096
AA 97,SGV_12N_00097
AA 98,SGV_12N_00098
AA 99,SGV_12N_00099
AA 100,SGV_12N_00100
AB 1,SGV_12N_00101
AB 2,SGV_12N_00102
AB 3,SGV_12N_00103
AB 4,SGV_12N_00104
AB 5,SGV_12N_00105
AB 6,SGV_12N_00106
AB 7,SGV_12N_00107
AB 8,SGV_12N_00108
AB 9,SGV_12N_00109
AB 10,SGV_12N_00110
AB 11,SGV_12N_00111
AB 12,SGV_12N_00112
AB 13,SGV_12N_00113
AB 14,SGV_12N_00114
AB 15,SGV_12N_00115
AB 16,SGV_12N_00116
AB 17,SGV_12N_00117
AB 18,SGV_12N_00118
AB 19,SGV_12N_00119
AB 20,SGV_12N_00120
AB 21,SGV_12N_00121
AB 22,SGV_12N_00122
AB 23,SGV_12N_00123
AB 24,SGV_12N_00124
AB 25,SGV_12N_00125
AB 26,SGV_12N_00126
AB 27,SGV_12N_00127
AB 28,SGV_12N_00128
AB 29,SGV_12N_00129
AB 30,SGV_12N_00130
AB 31,SGV_12N_00131
AB 32,SGV_12N_00132
AB 33,SGV_12N_00133
AB 34,SGV_12N_00134
AB 35,SGV_12N_00135
AB 36,SGV_12N_00136
AB 37,SGV_12N_00137
AB 38,SGV_12N_00138
AB 39,SGV_12N_00139
AB 40,SGV_12N_00140
AB 41,SGV_12N_00141
AB 42,SGV_12N_00142
AB 43,SGV_12N_00143
AB 44,SGV_12N_00144
AB 45,SGV_12N_00145
AB 46,SGV_12N_00146
AB 47,SGV_12N_00147
AB 48,SGV_12N_00148
AB 49,SGV_12N_00149
AB 50,SGV_12N_00150
AB 51,SGV_12N_00151
AB 52,SGV_12N_00152
AB 53,SGV_12N_00153
AB 54,SGV_12N_00154
AB 55,SGV_12N_00155
AB 56,SGV_12N_00156
AB 57,SGV_12N_00157
AB 58,SGV_12N_00158
AB 59,SGV_12N_00159
AB 60,SGV_12N_00160
AB 61,SGV_12N_00161
AB 62,SGV_12N_00162
AB 63,SGV_12N_00163
AB 64,SGV_12N_00164
AB 65,SGV_12N_00165
AB 66,SGV_12N_00166
AB 67,SGV_12N_00167
AB 68,SGV_12N_00168
AB 69,SGV_12N_00169
AB 70,SGV_12N_00170
AB 71,SGV_12N_00171
AB 72,SGV_12N_00172
AB 73,SGV_12N_00173
AB 74,SGV_12N_00174
AB 75,SGV_12N_00175
AB 76,SGV_12N_00176
AB 77,SGV_12N_00177
AB 78,SGV_12N_00178
AB 79,SGV_12N_00179
AB 80,SGV_12N_00180
AB 81,SGV_12N_00181
AB 82,SGV_12N_00182
AB 83,SGV_12N_00183
AB 84,SGV_12N_00184
AB 85,SGV_12N_00185
AB 86,SGV_12N_00186
AB 87,SGV_12N_00187
AB 88,SGV_12N_00188
AB 89,SGV_12N_00189
AB 90,SGV_12N_00190
AB 91,SGV_12N_00191
AB 92,SGV_12N_00192
AB 93,SGV_12N_00193
AB 94,SGV_12N_00194
AB 95,SGV_12N_00195
AB 96,SGV_12N_00196
AB 97,SGV_12N_00197
AB 98,SGV_12N_00198
AB 99,SGV_12N_00199
AB 100,SGV_12N_00200
AC 1,SGV_12N_00201
AC 2,SGV_12N_00202
AC 3,SGV_12N_00203
AC 4,SGV_12N_00204
AC 5,SGV_12N_00205
AC 6,SGV_12N_00206
AC 7,SGV_12N_00207
AC 8,SGV_12N_00208
AC 9,SGV_12N_00209
AC 10,SGV_12N_00210
AC 11,SGV_12N_00211
AC 12,SGV_12N_00212
AC 13,SGV_12N_00213
AC 14,SGV_12N_00214
AC 15,SGV_12N_00215
AC 16,SGV_12N_00216
AC 17,SGV_12N_00217
AC 18,SGV_12N_00218
AC 19,SGV_12N_00219
AC 20,SGV_12N_00220
AC 21,SGV_12N_00221
AC 22,SGV_12N_00222
AC 23,SGV_12N_00223
AC 24,SGV_12N_00224
AC 25,SGV_12N_00225
AC 26,SGV_12N_00226
AC 27,SGV_12N_00227
AC 28,SGV_12N_00228
AC 29,SGV_12N_00229
AC 30,SGV_12N_00230
AC 31,SGV_12N_00231
AC 32,SGV_12N_00232
AC 33,SGV_12N_00233
AC 34,SGV_12N_00234
AC 35,SGV_12N_00235
AC 36,SGV_12N_00236
AC 37,SGV_12N_00237
AC 38,SGV_12N_00238
AC 39,SGV_12N_00239
AC 40,SGV_12N_00240
AC 41,SGV_12N_00241
AC 42,SGV_12N_00242
AC 43,SGV_12N_00243
AC 44,SGV_12N_00244
AC 45,SGV_12N_00245
AC 46,SGV_12N_00246
AC 47,SGV_12N_00247
AC 48,SGV_12N_00248
AC 49,SGV_12N_00249
AC 50,SGV_12N_00250
AC 51,SGV_12N_00251
AC 52,SGV_12N_00252
AC 53,SGV_12N_00253
AC 54,SGV_12N_00254
AC 55,SGV_12N_00255
AC 56,SGV_12N_00256
AC 57,SGV_12N_00257
AC 58,SGV_12N_00258
AC 59,SGV_12N_00259
AC 60,SGV_12N_00260
AC 61,SGV_12N_00261
AC 62,SGV_12N_00262
AC 63,SGV_12N_00263
AC 64,SGV_12N_00264
AC 65,SGV_12N_00265
AC 66,SGV_12N_00266
AC 67,SGV_12N_00267
AC 68,SGV_12N_00268
AC 69,SGV_12N_00269
AC 70,SGV_12N_00270
AC 71,SGV_12N_00271
AC 72,SGV_12N_00272
AC 73,SGV_12N_00273
AC 74,SGV_12N_00274
AC 75,SGV_12N_00275
AC 76,SGV_12N_00276
AC 77,SGV_12N_00277
AC 78,SGV_12N_00278
AC 79,SGV_12N_00279
AC 80,SGV_12N_00280
AC 81,SGV_12N_00281
AC 82,SGV_12N_00282
AC 83,SGV_12N_00283
AC 84,SGV_12N_00284
AC 85,SGV_12N_00285
AC 86,SGV_12N_00286
AC 87,SGV_12N_00287
AC 88,SGV_12N_00288
AC 89,SGV_12N_00289
AC 90,SGV_12N_00290
AC 91,SGV_12N_00291
AC 92,SGV_12N_00292
AC 93,SGV_12N_00293
AC 94,SGV_12N_00294
AC 95,SGV_12N_00295
AC 96,SGV_12N_00296
AC 97,SGV_12N_00297
AC 98,SGV_12N_00298
AC 99,SGV_12N_00299
AC 100,SGV_12N_00300
AD 1,SGV_12N_00301
AD 2,SGV_12N_00302
AD 3,SGV_12N_00303
AD 4,SGV_12N_00304
AD 5,SGV_12N_00305
AD 6,SGV_12N_00306
AD 7,SGV_12N_00307
AD 8,SGV_12N_00308
AD 9,SGV_12N_00309
AD 10,SGV_12N_00310
AD 11,SGV_12N_00311
AD 12,SGV_12N_00312
AD 13,SGV_12N_00313
AD 14,SGV_12N_00314
AD 15,SGV_12N_00315
AD 16,SGV_12N_00316
AD 17,SGV_12N_00317
AD 18,SGV_12N_00318
AD 19,SGV_12N_00319
AD 20,SGV_12N_00320
AD 21,SGV_12N_00321
AD 22,SGV_12N_00322
AD 23,SGV_12N_00323
AD 24,SGV_12N_00324
AD 25,SGV_12N_00325
AD 26,SGV_12N_00326
AD 27,SGV_12N_00327
AD 28,SGV_12N_00328
AD 29,SGV_12N_00329
AD 30,SGV_12N_00330
AD 31,SGV_12N_00331
AD 32,SGV_12N_00332
AD 33,SGV_12N_00333
AD 34,SGV_12N_00334
AD 35,SGV_12N_00335
AD 36,SGV_12N_00336
AD 37,SGV_12N_00337
AD 38,SGV_12N_00338
AD 39,SGV_12N_00339
AD 40,SGV_12N_00340
AD 41,SGV_12N_00341
AD 42,SGV_12N_00342
AD 43,SGV_12N_00343
AD 44,SGV_12N_00344
AD 45,SGV_12N_00345
AD 46,SGV_12N_00346
AD 47,SGV_12N_00347
AD 48,SGV_12N_00348
AD 49,SGV_12N_00349
AD 50,SGV_12N_00350
AD 51,SGV_12N_00351
AD 52,SGV_12N_00352
AD 53,SGV_12N_00353
AD 54,SGV_12N_00354
AD 55,SGV_12N_00355
AD 56,SGV_12N_00356
AD 57,SGV_12N_00357
AD 58,SGV_12N_00358
AD 59,SGV_12N_00359
AD 60,SGV_12N_00360
AD 61,SGV_12N_00361
AD 62,SGV_12N_00362
AD 63,SGV_12N_00363
AD 64,SGV_12N_00364
AD 65,SGV_12N_00365
AD 66,SGV_12N_00366
AD 67,SGV_12N_00367
AD 68,SGV_12N_00368
AD 69,SGV_12N_00369
AD 70,SGV_12N_00370
AD 71,SGV_12N_00371
AD 72,SGV_12N_00372
AD 73,SGV_12N_00373
AD 74,SGV_12N_00374
AD 75,SGV_12N_00375
AD 76,SGV_12N_00376
AD 77,SGV_12N_00377
AD 78,SGV_12N_00378
AD 79,SGV_12N_00379
AD 80,SGV_12N_00380
AD 81,SGV_12N_00381
AD 82,SGV_12N_00382
AD 83,SGV_12N_00383
AD 84,SGV_12N_00384
AD 85,SGV_12N_00385
AD 86,SGV_12N_00386
AD 87,SGV_12N_00387
AD 88,SGV_12N_00388
AD 89,SGV_12N_00389
AD 90,SGV_12N_00390
AD 91,SGV_12N_00391
AD 92,SGV_12N_00392
AD 93,SGV_12N_00393
AD 94,SGV_12N_00394
AD 95,SGV_12N_00395
AD 96,SGV_12N_00396
AD 97,SGV_12N_00397
AD 98,SGV_12N_00398
AD 99,SGV_12N_00399
AD 100,SGV_12N_00400
AE 1,SGV_12N_00401
AE 2,SGV_12N_00402
AE 3,SGV_12N_00403
AE 4,SGV_12N_00404
AE 5,SGV_12N_00405
AE 6,SGV_12N_00406
AE 7,SGV_12N_00407
AE 8,SGV_12N_00408
AE 9,SGV_12N_00409
AE 10,SGV_12N_00410
AE 11,SGV_12N_00411
AE 12,SGV_12N_00412
AE 13,SGV_12N_00413
AE 14,SGV_12N_00414
AE 15,SGV_12N_00415
AE 16,SGV_12N_00416
AE 17,SGV_12N_00417
AE 18,SGV_12N_00418
AE 19,SGV_12N_00419
AE 20,SGV_12N_00420
AE 21,SGV_12N_00421
AE 22,SGV_12N_00422
AE 23,SGV_12N_00423
AE 24,SGV_12N_00424
AE 25,SGV_12N_00425
AE 26,SGV_12N_00426
AE 27,SGV_12N_00427
AE 28,SGV_12N_00428
AE 29,SGV_12N_00429
AE 30,SGV_12N_00430
AE 31,SGV_12N_00431
AE 32,SGV_12N_00432
AE 33,SGV_12N_00433
AE 34,SGV_12N_00434
AE 35,SGV_12N_00435
AE 36,SGV_12N_00436
AE 37,SGV_12N_00437
AE 38,SGV_12N_00438
AE 39,SGV_12N_00439
AE 40,SGV_12N_00440
AE 41,SGV_12N_00441
AE 42,SGV_12N_00442
AE 43,SGV_12N_00443
AE 44,SGV_12N_00444
AE 45,SGV_12N_00445
AE 46,SGV_12N_00446
AE 47,SGV_12N_00447
AE 48,SGV_12N_00448
AE 49,SGV_12N_00449
AE 50,SGV_12N_00450
AE 51,SGV_12N_00451
AE 52,SGV_12N_00452
AE 53,SGV_12N_00453
AE 54,SGV_12N_00454
AE 55,SGV_12N_00455
AE 56,SGV_12N_00456
AE 57,SGV_12N_00457
AE 58,SGV_12N_00458
AE 59,SGV_12N_00459
AE 60,SGV_12N_00460
AE 61,SGV_12N_00461
AE 62,SGV_12N_00462
AE 63,SGV_12N_00463
AE 64,SGV_12N_00464
AE 65,SGV_12N_00465
AE 66,SGV_12N_00466
AE 67,SGV_12N_00467
AE 68,SGV_12N_00468
AE 69,SGV_12N_00469
AE 70,SGV_12N_00470
AE 71,SGV_12N_00471
AE 72,SGV_12N_00472
AE 73,SGV_12N_00473
AE 74,SGV_12N_00474
AE 75,SGV_12N_00475
AE 76,SGV_12N_00476
AE 77,SGV_12N_00477
AE 78,SGV_12N_00478
AE 79,SGV_12N_00479
AE 80,SGV_12N_00480
AE 81,SGV_12N_00481
AE 82,SGV_12N_00482
AE 83,SGV_12N_00483
AE 84,SGV_12N_00484
AE 85,SGV_12N_00485
AE 86,SGV_12N_00486
AE 87,SGV_12N_00487
AE 88,SGV_12N_00488
AE 89,SGV_12N_00489
AE 90,SGV_12N_00490
AE 91,SGV_12N_00491
AE 92,SGV_12N_00492
AE 93,SGV_12N_00493
AE 94,SGV_12N_00494
AE 95,SGV_12N_00495
AE 96,SGV_12N_00496
AE 97,SGV_12N_00497
AE 98,SGV_12N_00498
AE 99,SGV_12N_00499
AE 100,SGV_12N_00500
AF 1,SGV_12N_00501
AF 2,SGV_12N_00502
AF 3,SGV_12N_00503
AF 4,SGV_12N_00504
AF 5,SGV_12N_00505
AF 6,SGV_12N_00506
AF 7,SGV_12N_00507
AF 8,SGV_12N_00508
AF 9,SGV_12N_00509
AF 10,SGV_12N_00510
AF 11,SGV_12N_00511
AF 12,SGV_12N_00512
AF 13,SGV_12N_00513
AF 14,SGV_12N_00514
AF 15,SGV_12N_00515
AF 16,SGV_12N_00516
AF 17,SGV_12N_00517
AF 18,SGV_12N_00518
AF 19,SGV_12N_00519
